Quantidade;Frequencia;Valor;Idade
51;35;14;2
49;3;14;2
47;32;13;2
46;31;15;2
5;36;14;2
54;39;17;4
46;34;14;3
5;34;15;2
44;29;14;2
49;31;15;1
54;37;15;2
48;34;16;2
48;3;14;1
43;3;11;1
58;4;12;2
57;44;15;4
54;39;13;4
51;35;14;3
57;38;17;3
51;38;15;3
54;34;17;2
51;37;15;4
46;36;1;2
51;33;17;5
48;34;19;2
5;3;16;2
5;34;16;4
52;35;15;2
52;34;14;2
47;32;16;2
48;31;16;2
54;34;15;4
52;41;15;1
55;42;14;2
49;31;15;2
5;32;12;2
55;35;13;2
49;36;14;1
44;3;13;2
51;34;15;2
5;35;13;3
45;23;13;3
44;32;13;2
5;35;16;6
51;38;19;4
48;3;14;3
51;38;16;2
46;32;14;2
53;37;15;2
5;33;14;2
7;32;47;14
64;32;45;15
69;31;49;15
55;23;4;13
65;28;46;15
57;28;45;13
63;33;47;16
49;24;33;1
66;29;46;13
52;27;39;14
5;2;35;1
59;3;42;15
6;22;4;1
61;29;47;14
56;29;36;13
67;31;44;14
56;3;45;15
58;27;41;1
62;22;45;15
56;25;39;11
59;32;48;18
61;28;4;13
63;25;49;15
61;28;47;12
64;29;43;13
66;3;44;14
68;28;48;14
67;3;5;17
6;29;45;15
57;26;35;1
55;24;38;11
55;24;37;1
58;27;39;12
6;27;51;16
54;3;45;15
6;34;45;16
67;31;47;15
63;23;44;13
56;3;41;13
55;25;4;13
55;26;44;12
61;3;46;14
58;26;4;12
5;23;33;1
56;27;42;13
57;3;42;12
57;29;42;13
62;29;43;13
51;25;3;11
57;28;41;13
63;33;6;25
58;27;51;19
71;3;59;21
63;29;56;18
65;3;58;22
76;3;66;21
49;25;45;17
73;29;63;18
67;25;58;18
72;36;61;25
65;32;51;2
64;27;53;19
68;3;55;21
57;25;5;2
58;28;51;24
64;32;53;23
65;3;55;18
77;38;67;22
77;26;69;23
6;22;5;15
69;32;57;23
56;28;49;2
77;28;67;2
63;27;49;18
67;33;57;21
72;32;6;18
62;28;48;18
61;3;49;18
64;28;56;21
72;3;58;16
74;28;61;19
79;38;64;2
64;28;56;22
63;28;51;15
61;26;56;14
77;3;61;23
63;34;56;24
64;31;55;18
6;3;48;18
69;31;54;21
67;31;56;24
69;31;51;23
58;27;51;19
68;32;59;23
67;33;57;25
67;3;52;23
63;25;5;19
65;3;52;2
62;34;54;23
59;3;51;18